Time,Action
00:00:09.8154361,"CardIn"
00:00:15.4386629,"Keyboard,1"
00:00:15.7830241,"Keyboard,2"
00:00:16.0875203,"Keyboard,3"
00:00:16.9200942,"Keyboard,Confirm"
00:00:20.3020391,"Task Panel Show"
00:00:22.0213952,"Keyboard,6"
00:00:22.6475438,"Keyboard,2"
00:00:22.8342143,"Keyboard,2"
00:00:23.4994340,"Keyboard,7"
00:00:24.3353153,"Keyboard,5"
00:00:25.2409196,"Keyboard,0"
00:00:26.5095256,"Keyboard,8"
00:00:26.9850491,"Keyboard,2"
00:00:28.0668106,"Keyboard,3"
00:00:28.4809368,"Keyboard,5"
00:00:29.7990702,"Keyboard,0"
00:00:30.8044459,"Keyboard,7"
00:00:31.5883667,"Keyboard,6"
00:00:31.7795574,"Keyboard,6"
00:00:32.6838613,"Keyboard,4"
00:00:33.2789958,"Keyboard,2"
00:00:34.5534521,"Keyboard,8"
00:00:34.8955348,"Keyboard,5"
00:00:35.2000041,"Keyboard,6"
00:00:36.4096916,"TransferFirst,Confirm"
00:00:50.3047510,"Task Panel Hide"
00:01:05.9139213,"TransferFirst,Confirm"
00:01:09.3450964,"Task Panel Show"
00:01:11.3682750,"Keyboard,1"
00:01:11.8045527,"Keyboard,00"
00:01:12.0703089,"Keyboard,0"
00:01:12.9228075,"TransferFirst,Confirm"
00:01:31.0294956,"TransferForth,Return"
00:00:00,"EMPTY Total Time"
